AllenNine,2,3,6,7,10,11,12,15,17,23,27
Xuanxuan,0,7,8,10,15,18,22,24,29,32,33,34
zhenzhenzi,1,8,10,20,22,30,33,34
Aiz,1,2,7,8,9,10,11,12,13,15,18,27,28,31
Dropping,0,6,7,8,9,10,12,13,19,21,22,26,30,31,32,33,34
Xy,7,8,11,15,17,23,29,33,34
Lacia,7,8,9,10,11,12,14,15,16,18,23,25,26,28,29,32,34
GongXuan,7,8,9,18,35
Hollow,4,7,8,13,20,21,23,30
ketchup,0,1,4,5,7,8,9,11,13,17,18,20,21,22,23,25,27,29,30,32,34,35
lucky,0,1,2,3,4,5,6,7,8,9,11,13,17,18,19,20,21,22,23,24,26,27,28,29,32
Min,1,3,10,32,33,35
roomate,1,8,9,20,21,31,32
zion,1,2,8,9,10,13,15,32,33,35